FECHA HORA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
27/10/2016 22:00;83;84;82;0;;;;22.8;22.5;;
27/10/2016 21:00;83;84;82;0;;1009.1;22.8;23.4;22.8;187;3
27/10/2016 20:00;82;82;78;0;;1008.4;23.4;24.7;23.3;189;2
27/10/2016 19:00;78;78;72;0;0;1007.2;24.7;25.8;24.6;205;1.8
27/10/2016 18:00;72;72;66;0;;1006.3;25.8;27;25.7;199;1.4
27/10/2016 17:00;66;67;64;0;;1005.9;26.9;27.6;26.9;192;3.2
27/10/2016 16:00;65;67;63;0;;1005.7;27.6;28.2;27.4;188;2.7
27/10/2016 15:00;64;68;61;0;;1006.2;27.8;28.1;27;209;1.7
27/10/2016 14:00;65;70;62;0;;1006.8;27.9;28.3;26.6;222;0.7
27/10/2016 13:00;67;73;66;0;0;1007.8;27.5;27.5;25.6;221;1.4
27/10/2016 12:00;71;77;71;0;;1009;26;26.1;24.9;167;3.2
