;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);presion atmosferica;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
29/10/2016 22:00;68.0;74.0;67.0;0.0;;;11.0;11.1;10.0;183.0;3.2
29/10/2016 21:00;;74.0;69.0;0.0;;;;11.4;10.3;;
29/10/2016 20:00;72.0;76.0;72.0;0.0;;;10.2;10.9;10.0;179.0;2.9
29/10/2016 19:00;;;;;0.0;;;;;;
29/10/2016 17:00;;72.0;66.0;0.0;;;;14.9;14.5;;
29/10/2016 16:00;66.0;70.0;53.0;0.0;;;14.7;15.5;14.4;27.0;1.8
29/10/2016 15:00;59.0;64.0;54.0;0.0;;;15.5;16.2;15.0;48.0;3.4
29/10/2016 14:00;60.0;69.0;57.0;0.0;;;16.0;16.6;15.5;40.0;3.4
29/10/2016 13:00;66.0;70.0;53.0;0.0;;;14.7;15.5;14.4;27.0;1.8
29/10/2016 12:00;53.0;60.0;49.0;0.0;;;17.8;17.9;16.5;358.0;3.0
29/10/2016 11:00;50.0;71.0;50.0;0.0;;;17.4;17.6;10.9;232.0;1.4
29/10/2016 10:00;53.0;61.0;50.0;0.0;;;17.8;18.2;16.9;18.0;1.9
29/10/2016 9:00;53.0;60.0;49.0;0.0;;;17.8;17.9;16.5;358.0;3.0
29/10/2016 8:00;50.0;71.0;50.0;0.0;;;17.4;17.6;10.9;232.0;1.4
29/10/2016 7:00;69.0;76.0;66.0;0.0;0.0;;11.0;11.5;9.7;192.0;1.9
29/10/2016 6:00;73.0;74.0;68.0;0.0;;;9.9;11.0;9.5;197.0;2.1
29/10/2016 5:00;69.0;72.0;66.0;0.0;;;10.6;11.3;10.0;181.0;4.1
29/10/2016 4:00;69.0;73.0;67.0;0.0;;;10.7;11.1;9.8;173.0;3.8
29/10/2016 3:00;70.0;72.0;67.0;0.0;;;10.2;11.1;10.1;159.0;2.5
29/10/2016 2:00;68.0;70.0;65.0;0.0;;;10.9;11.4;10.3;190.0;3.9
29/10/2016 1:00;66.0;71.0;65.0;0.0;;;11.2;11.5;10.1;180.0;3.6
29/10/2016 0:00;66.0;66.0;59.0;0.0;;;11.4;12.5;11.4;163.0;3.5
28/10/2016 23:00;59.0;60.0;51.0;0.0;;;12.1;12.6;11.6;187.0;3.3
